Employee_ID,Name,Gender,Age,Location,Education,Total_Experience,Department,Designation,Manager_ID,Joining_Date,Performance_Rating,Avg_Work_Hours,Project_Workload,Remote_Work_Days_Monthly,Monthly_Salary,Market_Salary_Ratio,Salary_Change_%,Bonus_Last_Year,Job_Satisfaction_Score,Manager_Rating,Internal_Job_Applications,Days_Since_Last_Promotion,Leaves_Taken_Last_Year,Commute_Distance_KM,Team_Size,Intent_To_Stay_12Months,Engagement_Survey_Score,Meeting_Participation_Score,Time_Since_Last_Promotion_Months,Training_Completion_Rate,Status,Resignation_Date,Last_Working_Day,Lead_Time,Notice_Period_Type,Tenure_Years,Experience_Tenure_Ratio,Salary_Satisfaction,Work_Life_Balance
EMP_0027,Rebecca Johnson,Female,54,Chennai,Bachelor,30,Engineering,Software Engineer,EMP_0001,2019-11-12,3.7,49.1,Low,2,61302,0.75,5.9,0,3.380319701040753,8.7,0,1128,20,19.2,17,8.9,6.5514989310894265,5.580906496853957,7,0.5176492982589177,Resigned,2024-10-10,2024-11-20,41.0,Professional,5.7,5.17,2.54,Average
EMP_0028,Christopher Boyd,Female,31,Delhi,Master,10,HR,HR Executive,EMP_0002,2020-12-14,4.4,42.3,Low,3,42891,1.14,9.0,0,10.0,8.1,2,801,14,18.5,18,7.4,6.4,7.6,48,0.78,Active,,,0.0,Unknown,4.6,2.13,11.4,Good
EMP_0029,Juan Williams,Female,58,Chennai,Bachelor,35,HR,Recruiter,EMP_0004,2023-06-07,4.0,41.2,Low,0,48072,0.92,8.6,0,6.6,8.6,0,750,16,3.3,14,8.6,6.9,5.2,39,0.43,Active,,,0.0,Unknown,2.1,15.91,6.07,Good
EMP_0030,Matthew Taylor,Female,45,Bangalore,Bachelor,21,Finance,CFO,EMP_0008,2023-11-14,4.3,35.0,Medium,3,216241,0.86,5.5,0,7.4,5.11505384683776,1,1079,14,5.9,12,6.142533132208389,3.197483000327655,7.404697474442991,56,0.8414428948230671,Resigned,2024-11-02,2025-01-15,74.0,Executive,1.7,11.67,6.36,Good
EMP_0031,Steven White,Male,51,Bangalore,Bachelor,31,Engineering,Engineering Manager,EMP_0008,2022-06-30,1.6,45.7,Medium,2,202603,0.96,10.0,1,8.7,3.7,0,532,20,1.4,7,6.5,6.1,8.8,48,0.86,Active,,,0.0,Unknown,3.1,9.69,8.35,Average
EMP_0032,Pamela Powell,Female,58,Mumbai,Bachelor,35,Sales,Sales Manager,EMP_0001,2022-04-25,2.3,55.004999999999974,High,4,62419,1.1,9.9,1,5.189542835431513,6.5,1,994,9,6.2,7,6.504310688387997,9.42653722954782,2.356634307386955,14,1.0,Resigned,2025-06-02,2025-08-18,77.0,Executive,3.3,10.29,5.71,Poor
EMP_0033,Daniel Graves,Male,43,Hyderabad,PhD,23,Sales,Sales Executive,EMP_0006,2018-11-18,4.0,51.6,High,4,66665,1.12,7.3,1,2.6108624109775933,7.8,0,1087,17,4.2,15,3.5768146975160304,5.709146536419818,5.021297556128273,15,1.0,Resigned,2025-02-04,2025-02-16,12.0,Standard,6.7,3.38,2.92,Poor
EMP_0034,Daniel Love,Female,47,Delhi,Master,24,Operations,VP Operations,EMP_0008,2024-01-07,3.9,40.6,Low,3,237410,0.91,8.1,0,3.400350793672765,4.760491111141871,0,896,15,1.8,6,6.320247172560842,7.342640097533921,4.461350945337065,48,0.84,Resigned,2025-02-09,2025-05-15,95.0,Executive,1.5,15.0,3.09,Good
EMP_0035,Alex Hall,Male,30,Mumbai,Master,8,Engineering,Software Engineer,EMP_0002,2025-01-24,2.8,39.3,Low,1,51252,1.25,8.8,1,5.517948886488471,6.1,2,147,21,15.7,10,2.699515034775298,4.637628393075513,6.229650080250688,19,0.78,Resigned,2024-10-18,2024-11-16,29.0,Professional,0.5,13.33,6.9,Good
EMP_0036,Timothy Jackson,Male,28,Delhi,Master,8,Sales,Sales Manager,EMP_0001,2021-01-30,4.3,44.5,High,1,57850,0.81,14.2,1,7.4,5.4,0,453,14,15.7,5,8.0,7.3,9.1,7,0.93,Active,,,0.0,Unknown,4.5,1.74,5.99,Good
EMP_0037,Jacqueline Turner,Female,50,Chennai,Bachelor,26,Finance,CFO,EMP_0001,2021-08-23,3.5,35.4,Medium,0,224574,1.05,2.3,1,9.3,6.2,0,147,20,1.9,18,6.5,5.2,6.3,11,0.95,Active,,,0.0,Unknown,3.9,6.5,9.76,Good
EMP_0038,Daniel Pineda,Female,45,Bangalore,Master,24,Engineering,Tech Lead,EMP_0008,2019-09-18,3.4,41.0,High,4,156332,0.93,11.7,1,6.3,7.8,0,1133,17,14.9,15,5.9,6.6,9.2,18,0.8,Active,,,0.0,Unknown,5.9,4.0,5.86,Good
EMP_0039,Michael James,Male,35,Hyderabad,Bachelor,14,Marketing,Content Manager,EMP_0005,2024-12-27,2.4,41.4,High,1,89192,0.98,3.1,1,7.4,6.7,0,1073,19,1.8,14,7.529306304028296,4.392095344016506,1.0756151862897565,34,0.53,Resigned,2024-07-04,2024-10-01,89.0,Executive,0.6,20.0,7.25,Good
EMP_0040,Jerry Bowers,Female,24,Delhi,Master,4,Marketing,Marketing Executive,EMP_0010,2017-09-15,3.6,55.004999999999974,High,3,59688,0.95,5.8,1,6.0,5.2,1,511,19,3.5,15,8.1,6.1,6.0,35,1.0,Active,,,0.0,Unknown,7.9,0.5,5.7,Poor
EMP_0041,James Gomez,Male,23,Delhi,Master,0,Engineering,Software Engineer,EMP_0004,2017-12-03,3.7,43.3,Low,4,79346,0.87,6.7,0,5.8,6.0,0,1083,19,10.3,8,6.6,6.1,6.8,15,0.79,Active,,,0.0,Unknown,7.6,0.0,5.05,Good
EMP_0042,Sherri Baker,Male,43,Bangalore,Bachelor,23,Sales,Senior Sales,EMP_0001,2019-06-07,4.9,40.6,Medium,3,91510,1.12,10.5,0,5.7,6.8,1,147,14,2.1,15,9.6,7.6,7.9,42,0.44,Active,,,0.0,Unknown,6.1,3.71,6.38,Good
EMP_0043,Vanessa Harris,Male,24,Delhi,Bachelor,1,Operations,Process Manager,EMP_0010,2020-04-10,4.7,37.5,High,2,114375,1.15,8.4,0,5.7,6.3,0,609,18,9.3,16,9.5,7.7,5.6,22,0.74,Active,,,0.0,Unknown,5.3,0.19,6.56,Good
EMP_0044,Deborah Collier,Female,41,Delhi,Bachelor,21,Engineering,Engineering Manager,EMP_0009,2018-01-13,4.1,41.1,Medium,4,210112,0.93,9.8,0,2.1,4.6,0,890,19,11.4,12,7.409337792116766,5.280217736910799,6.472524967826141,59,1.0,Resigned,2023-10-19,2024-01-03,76.0,Executive,7.5,2.76,1.95,Good
EMP_0045,William Gutierrez,Male,53,Pune,Bachelor,29,Engineering,Software Engineer,EMP_0009,2021-04-02,4.1,43.4,Low,1,65525,0.97,2.8,1,9.7,8.0,1,976,19,8.2,10,7.1,5.6,8.8,55,0.85,Active,,,0.0,Unknown,4.3,6.59,9.41,Good
EMP_0046,Jason French,Female,41,Delhi,Master,20,Marketing,Brand Manager,EMP_0003,2018-06-11,4.4,47.8,Medium,0,119545,1.18,8.3,1,5.7,9.6,0,211,10,13.9,8,7.8,4.4,9.7,46,0.54,Active,,,0.0,Unknown,7.1,2.78,6.73,Average
EMP_0047,Kelly Butler,Male,50,Delhi,Bachelor,30,HR,HR Executive,EMP_0003,2020-08-22,3.5,50.6,Medium,3,43453,1.08,3.7,0,6.9,8.6,0,955,11,1.4,10,10.0,9.3,6.4,13,0.85,Active,,,0.0,Unknown,4.9,6.0,7.45,Poor
EMP_0048,Victoria Hale,Male,51,Mumbai,Bachelor,31,Operations,Operations Manager,EMP_0007,2020-03-23,3.5,52.0,Medium,3,46646,1.17,10.4,0,8.567889186958467,6.0,0,147,9,8.2,9,4.864303870914662,3.4745027649390443,6.080379838643328,8,0.2345289366333855,Resigned,2024-03-26,2024-06-26,92.0,Executive,5.3,5.74,10.02,Poor
EMP_0049,Brian Johnson,Male,33,Hyderabad,Bachelor,11,HR,HR Director,EMP_0010,2018-10-16,3.0,37.2,Medium,4,55563,0.8,3.8,0,8.241704819986925,6.9,1,709,18,5.1,19,8.5,6.7,6.17886911471759,19,0.203252273510447,Resigned,2024-09-13,2024-12-14,92.0,Executive,6.8,1.59,6.59,Good
EMP_0050,Natasha Booker,Female,41,Pune,PhD,18,Marketing,Marketing Manager,EMP_0010,2019-03-24,2.4,48.0,Medium,3,58605,1.11,9.2,1,4.6,7.9,1,758,13,2.6,10,4.6,7.1,7.8,54,1.0,Active,,,0.0,Unknown,6.3,2.81,5.11,Average
EMP_0051,Michael Santos,Male,37,Hyderabad,Master,16,Engineering,Senior Engineer,EMP_0001,2023-03-15,4.3,47.1,Medium,0,87848,0.85,8.3,0,6.0,6.2,0,583,11,13.7,13,7.2,4.9,5.2,26,0.34,Active,,,0.0,Unknown,2.4,6.4,5.1,Average
EMP_0052,Cynthia Perez,Male,50,Delhi,Bachelor,29,Engineering,Tech Lead,EMP_0004,2021-06-22,3.5,43.6,Low,1,145537,0.75,6.4,0,5.3,7.1,0,718,20,14.3,16,4.6,9.3,8.5,11,0.96,Active,,,0.0,Unknown,4.1,6.9,3.97,Good
EMP_0053,Amanda Dorsey,Male,42,Mumbai,Bachelor,18,Finance,CFO,EMP_0002,2024-12-19,4.2,37.9,Low,4,237650,1.16,9.1,1,6.4,5.6,0,583,18,7.0,14,7.6,6.7,7.7,12,1.0,Active,,,0.0,Unknown,0.6,25.71,7.42,Good
EMP_0054,Joshua Lewis,Female,31,Chennai,Bachelor,11,Engineering,Senior Engineer,EMP_0005,2024-05-16,4.5,44.5,Medium,4,93673,1.01,4.9,0,10.0,9.0,0,1073,17,9.1,14,8.5,8.7,5.9,41,1.0,Active,,,0.0,Unknown,1.2,8.46,10.1,Good
EMP_0055,Sheena Ruiz,Male,57,Mumbai,Bachelor,33,Finance,Finance Manager,EMP_0007,2017-08-26,2.9,48.8,Medium,0,161621,1.03,-0.7,0,6.6,6.8,0,739,16,17.4,6,5.4,9.8,10.0,54,0.61,Active,,,0.0,Unknown,7.9,4.12,6.8,Average
EMP_0056,Tiffany Williams,Male,45,Mumbai,Bachelor,22,Sales,Senior Sales,EMP_0008,2020-10-13,3.6,46.5,Medium,4,82640,0.78,6.8,0,7.143602440569421,3.687020614487443,1,650,19,2.1,9,4.235296515150743,7.6,10.0,8,0.2774849440960831,Resigned,2023-09-28,2023-11-22,55.0,Senior,4.8,4.49,5.57,Average
EMP_0057,Joe Mcconnell,Female,44,Bangalore,Bachelor,23,HR,HR Manager,EMP_0006,2018-09-20,2.6,45.7,Medium,1,58877,1.03,9.1,0,8.7,6.5,0,1069,10,5.2,16,4.7,7.1,6.9,38,0.79,Active,,,0.0,Unknown,6.8,3.33,8.96,Average
EMP_0058,Joshua Knight,Male,35,Mumbai,Bachelor,11,Finance,Senior Analyst,EMP_0008,2019-11-18,5.0,35.0,Medium,1,116035,1.04,6.1,0,7.2,9.1,0,333,17,1.4,17,10.0,7.3,6.8,19,0.64,Active,,,0.0,Unknown,5.7,1.9,7.49,Good
EMP_0059,Paul King,Male,42,Mumbai,Bachelor,21,Marketing,Marketing Manager,EMP_0004,2024-11-05,4.0,45.7,Medium,4,74984,0.98,2.8,1,8.0,9.1,0,988,10,10.0,13,7.7,7.7,7.6,37,0.91,Active,,,0.0,Unknown,0.7,26.25,7.84,Average
EMP_0060,Katherine Cortez,Female,50,Mumbai,Master,27,Finance,Finance Manager,EMP_0003,2023-03-12,3.6,39.2,Low,2,162913,1.03,5.0,0,5.3,6.9,1,1144,16,2.1,16,8.1,5.1,10.0,45,1.0,Active,,,0.0,Unknown,2.4,10.8,5.46,Good
EMP_0061,Dr. Charles Gates,Female,50,Bangalore,Bachelor,30,Sales,Sales Manager,EMP_0001,2021-05-10,3.4,50.9,Low,2,66715,0.82,3.8,1,6.4,7.6,0,494,13,6.2,9,7.8,8.5,6.6,50,0.75,Active,,,0.0,Unknown,4.2,6.98,5.25,Poor
EMP_0062,Sean Vang,Male,32,Bangalore,Master,11,Finance,Senior Analyst,EMP_0002,2024-08-12,3.9,42.7,Medium,2,94056,1.05,6.7,0,8.3,7.5,0,643,20,9.4,17,10.0,5.7,8.8,13,0.82,Active,,,0.0,Unknown,1.0,10.0,8.72,Good
EMP_0063,Ryan Mccoy,Male,38,Mumbai,Bachelor,17,Marketing,Marketing Executive,EMP_0006,2021-02-04,4.9,45.8,Low,0,73758,0.94,1.7,1,4.886572102154122,3.5930677221721483,0,488,10,2.8,16,1.8618939754056003,2.9571257256441887,4.983304463585577,43,0.4161880650906636,Resigned,2024-11-18,2024-12-13,25.0,Standard,4.5,3.7,4.59,Average
EMP_0064,Ian White,Female,29,Chennai,Master,6,Sales,Sales Manager,EMP_0010,2017-08-11,2.9,43.7,High,1,54089,0.97,2.4,1,5.3,8.4,1,249,19,7.9,12,8.2,7.1,6.6,37,0.67,Active,,,0.0,Unknown,8.0,0.74,5.14,Good
EMP_0065,Anthony Wood,Male,42,Delhi,Master,18,Engineering,Engineering Manager,EMP_0006,2019-02-26,5.0,49.1,Medium,3,207941,0.88,1.2,0,8.1,9.6,0,302,11,8.3,19,6.9,10.0,9.4,8,0.89,Active,,,0.0,Unknown,6.4,2.77,7.13,Average
EMP_0066,Danny Ayala,Female,46,Chennai,Bachelor,22,Sales,Senior Sales,EMP_0006,2019-03-14,2.3,48.2,Medium,2,91727,1.02,9.8,1,7.1,8.2,0,391,14,18.2,13,7.5,7.2,9.0,25,0.95,Active,,,0.0,Unknown,6.4,3.38,7.24,Average
EMP_0067,Robin Stewart,Male,52,Delhi,Master,31,Finance,Senior Analyst,EMP_0004,2024-02-18,4.6,37.5,Medium,2,103705,0.81,6.5,1,3.3,4.7,2,672,11,15.5,7,4.861648706446651,6.8,5.469354794752483,35,0.5122094172863436,Resigned,2023-08-22,2023-10-27,66.0,Senior,1.4,20.67,2.67,Good
EMP_0068,Sabrina Martin,Female,40,Mumbai,Bachelor,20,Operations,Operations Manager,EMP_0006,2024-12-24,4.1,45.5,Medium,3,50469,1.16,8.3,1,5.2,3.684692103459704,0,852,19,7.7,8,7.036022448730343,4.3,8.8,59,1.0,Resigned,2024-08-20,2024-12-01,103.0,Executive,0.6,28.57,6.03,Average
EMP_0069,Francisco Evans,Male,38,Pune,Master,16,Marketing,Marketing Manager,EMP_0009,2024-03-22,4.2,43.8,High,4,55195,0.96,4.9,1,9.0,5.3,0,832,14,6.4,5,5.0,6.6,7.1,33,0.51,Active,,,0.0,Unknown,1.3,11.43,8.64,Good
EMP_0070,Betty Kane,Female,31,Delhi,Master,11,Sales,Sales Executive,EMP_0008,2024-12-07,2.8,40.7,High,2,42643,0.92,6.4,1,8.4,10.0,0,779,8,5.8,12,8.4,7.0,7.3,19,0.6,Active,,,0.0,Unknown,0.6,15.71,7.73,Good
EMP_0071,Brian Pena,Female,42,Delhi,Master,18,Sales,Sales Executive,EMP_0006,2023-08-12,3.8,44.8,Medium,0,46588,0.89,6.7,1,5.0,7.3,0,662,9,14.5,15,6.3,7.8,6.7,15,0.86,Active,,,0.0,Unknown,2.0,8.57,4.45,Good
EMP_0072,Timothy Lawson,Male,43,Delhi,Master,21,Operations,VP Operations,EMP_0010,2017-09-15,4.1,41.1,Medium,4,162819,0.97,7.8,1,9.3,7.4,1,833,12,2.8,17,7.7,9.7,5.9,8,0.78,Active,,,0.0,Unknown,7.9,2.62,9.02,Good
EMP_0073,Ronald Davis,Female,54,Delhi,Master,30,HR,Recruiter,EMP_0003,2020-07-30,2.9,43.8,Medium,2,47551,1.13,9.9,0,5.2,5.6,0,327,15,2.4,16,8.3,8.2,7.0,48,0.61,Active,,,0.0,Unknown,5.0,5.88,5.88,Good
EMP_0074,Michelle Webb,Female,58,Delhi,Master,34,Operations,Process Manager,EMP_0004,2021-04-08,3.1,45.1,High,4,81283,1.15,1.0,1,4.9,7.5,0,220,8,4.3,16,7.6,8.1,5.5,27,0.54,Active,,,0.0,Unknown,4.3,7.73,5.64,Average
EMP_0075,Christina Reynolds,Female,49,Bangalore,Bachelor,26,HR,HR Director,EMP_0008,2024-10-23,3.3,42.8,Low,0,46450,1.17,4.0,0,5.9,8.8,0,926,19,18.0,19,7.6,6.1,8.4,13,0.97,Active,,,0.0,Unknown,0.8,28.89,6.9,Good
EMP_0076,Brandon Shaffer,Male,36,Mumbai,Bachelor,15,Finance,Financial Analyst,EMP_0004,2021-01-23,3.2,49.3,Medium,1,67522,1.06,5.5,1,7.0,8.0,0,977,21,14.2,7,6.9,6.3,8.2,51,0.58,Active,,,0.0,Unknown,4.5,3.26,7.42,Average
EMP_0077,Richard Barr,Female,40,Hyderabad,Bachelor,16,Operations,Process Manager,EMP_0009,2025-05-21,4.1,41.8,Medium,3,84493,0.93,-0.4,0,6.0,6.8,0,762,15,5.6,18,8.6,7.6,9.1,51,0.89,Active,,,0.0,Unknown,0.2,53.33,5.58,Good
EMP_0078,Samantha Greer,Female,51,Delhi,Bachelor,31,Operations,Operations Manager,EMP_0009,2022-10-12,5.0,40.6,High,2,52851,0.98,8.7,1,6.527066842585737,8.0,1,1144,15,1.4,16,4.453262122311202,5.343914546773442,8.906524244622403,56,0.68,Resigned,2024-06-20,2024-10-08,110.0,Executive,2.8,10.69,6.4,Good
EMP_0079,Kristen Wilson,Male,28,Mumbai,Bachelor,6,HR,HR Executive,EMP_0004,2020-05-25,3.8,45.9,Medium,0,49984,0.91,0.4,1,2.3216065883118318,7.2,2,451,8,4.5,17,4.290473439033323,4.353568636666166,3.0916646840093063,43,0.5173806205893124,Resigned,2024-01-19,2024-02-04,16.0,Standard,5.2,1.13,2.11,Average
EMP_0080,Colin Ortega,Male,42,Delhi,Bachelor,18,Sales,Sales Manager,EMP_0005,2018-01-10,3.7,40.3,Medium,4,42866,0.96,-0.1,1,6.9,8.5,0,868,21,3.6,16,8.7,4.7,9.4,33,0.51,Active,,,0.0,Unknown,7.5,2.37,6.62,Good
EMP_0081,Diana Fernandez,Female,29,Hyderabad,Bachelor,5,Operations,Operations Executive,EMP_0010,2018-10-04,4.6,50.4,Low,0,69995,0.87,11.3,1,5.9,9.3,0,744,16,4.4,19,9.7,4.7,7.5,14,0.99,Active,,,0.0,Unknown,6.8,0.72,5.13,Poor
EMP_0082,Jeremy Simmons,Female,48,Chennai,Bachelor,25,Marketing,Brand Manager,EMP_0004,2020-10-11,3.7,44.8,Medium,0,138438,0.96,11.1,1,5.5,7.1,0,147,16,12.1,10,4.6,8.5,9.3,49,0.58,Active,,,0.0,Unknown,4.8,5.1,5.28,Good
